Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
200	-334.392	-428.971	94.57893	155432	0.0484782	0.0212922	0.263421	0.193871	0.0531709	0.0134115	0.153718	0.00744085	0.00889564	0.0200821	0.0376732	0.00706063	0.0266285	0.0102022	0.0385301	0.0553844	0.0105543	0.0110129	0.00238908	0.0528174	0.00500503	0.0298084	0.00762764	0.0561893	0.00440536	0.0768637	0.00384391	0.00209028	0.0313278	0.0521449	0.0269523	0.00920181	0.0167284	0.350877	0.020319	0.0634358	0.0277191	0.0459562	0.0332637	0.0277635	0.0196399	0.0387028	0.106399	0.00751362	0.0857219	0.029696	0.00802249	0.0122295	0.0217213	0.0584659	0.00349336	0.00397911	11.26979	0.996778	0.999175	1.00082	1.00323	11.26979	164.0387	0.04610337	-3.648373	1.069115	1.143007
210	-339.3742	-434.453	95.07887	370399.8	0.0367464	0.039207	0.0396466	0.0210565	0.096601	0.0329782	0.202494	0.0182089	0.0290581	0.0108619	0.0201909	0.00576731	0.0108029	0.0402041	0.0229369	0.0674081	0.00864727	0.0299717	0.00584086	0.245117	0.0222915	0.0380954	0.0205537	0.119658	0.0227439	0.0740301	0.00676516	0.0144614	0.0108792	0.103028	0.0330504	0.00793648	0.036708	0.220726	0.0397701	0.0597174	0.0272859	0.0328826	0.00689676	0.0208954	0.100318	0.00717934	0.0367169	0.0132331	0.0123881	0.00950557	0.0156792	0.00240534	0.0253315	0.0272817	0.0615624	0.00699325	11.27572	0.997912	0.999466	1.00053	1.00209	11.27572	145.4611	0.0480884	-3.780959	1.221675	1.492489
220	-345.8441	-446.6478	100.8036	978087.7	0.0279876	0.048779	0.261676	0.0187663	0.078761	0.0132397	0.165616	0.0227483	0.00823495	0.109268	0.0158012	0.0100107	0.0174305	0.0228854	0.012712	0.0573947	0.0250388	0.0321466	0.0417268	0.0559056	0.0133146	0.0557188	0.0275863	0.0729291	0.0179334	0.141298	0.0046103	0.0297039	0.0266116	0.0530375	0.0463871	0.00822823	0.0452401	0.00919134	0.0189465	0.0468002	0.0338943	0.0215417	0.0335099	0.0314575	0.0528788	0.0379352	0.0270146	0.0750674	0.0373332	0.0325161	0.0062849	0.00572299	0.01904	0.0216906	0.0193601	0.00691008	11.24084	0.998715	0.999671	1.00033	1.00129	11.24084	156.5338	0.04777028	-3.430959	0.8827312	0.7792143
230	-343.2713	-437.6726	94.40133	72931.15	0.0584523	0.0255302	0.121533	0.0199459	0.0522893	0.0172438	0.056546	0.0169483	0.0261738	0.00524571	0.0709959	0.00732301	0.026565	0.034967	0.0239285	0.0791297	0.00871517	0.0194537	0.0184699	0.21683	0.0155913	0.0227475	0.0351961	0.201774	0.0420663	0.0623081	0.0131152	0.0281477	0.015898	0.0437561	0.0146087	0.0337237	0.0104509	0.0414393	0.0751954	0.0163952	0.0501385	0.0326646	0.0783401	0.0974272	0.133354	0.0201718	0.0917844	0.052673	0.0182692	0.0171199	0.0190962	0.0278256	0.0629446	0.0193888	0.0632266	0.0442656	11.17029	0.995297	0.998794	1.0012	1.00471	11.17029	154.4337	0.04200257	-3.393266	0.6681937	0.4464829
240	-346.0735	-432.1772	86.10368	984265.9	0.0395485	0.0343515	0.0938992	0.0134538	0.0814427	0.0383832	0.210221	0.101381	0.00903405	0.0356954	0.0053545	0.0186806	0.0181284	0.0313899	0.00850279	0.140739	0.0415228	0.0259583	0.0270993	0.256959	0.0636907	0.0510689	0.0136437	0.1042	0.0447538	0.11544	0.0193348	0.0157287	0.0371007	0.0953823	0.0248851	0.00588819	0.00716858	0.0379665	0.12543	0.0619814	0.0597858	0.0162794	0.010416	0.0792827	0.118445	0.00512502	0.0803011	0.0163148	0.0534915	0.0298979	0.0254064	0.020992	0.0194844	0.0201281	0.0494509	0.0096886	11.15227	0.998719	0.999672	1.00033	1.00128	11.15227	141.9489	0.0524417	-3.465097	1.016901	1.034087
250	-342.5305	-429.0039	86.47339	153031.6	0.0265123	0.0295922	0.108129	0.0133782	0.091641	0.0235459	0.279311	0.100346	0.0131301	0.015564	0.0307773	0.0392988	0.0279349	0.0198889	0.004352	0.165958	0.147613	0.017328	0.0363891	0.126111	0.0156501	0.0228352	0.00748233	0.165259	0.0066317	0.0306568	0.00740099	0.0268052	0.142264	0.0656874	0.0182041	0.0233354	0.0272928	0.032562	0.0489366	0.0471647	0.0354538	0.0364693	0.0174776	0.0134016	0.02467	0.0217743	0.166349	0.0581646	0.0712825	0.0995646	0.0307285	0.0223182	0.0223869	0.0411216	0.0365802	0.0264143	11.13658	0.996753	0.999168	1.00083	1.00325	11.13658	163.6421	0.05078946	-3.50343	1.023097	1.046727
260	-351.0235	-440.6888	89.66537	747681.5	0.0231439	0.0352138	0.0375162	0.00948852	0.105372	0.0158564	0.131943	0.0143655	0.007723	0.0140958	0.0194163	0.0232933	0.0115671	0.0624214	0.0115947	0.228175	0.0310843	0.0164046	0.042008	0.183357	0.00486562	0.0680338	0.0143174	0.0823493	0.0443274	0.0126543	0.0124078	0.0186591	0.0183352	0.0704064	0.0191406	0.0983751	0.0312328	0.0392022	0.274491	0.0207657	0.0567276	0.0360708	0.0557347	0.0203656	0.0754973	0.015863	0.0511046	0.051911	0.00925601	0.0947695	0.0182582	0.041271	0.0310046	0.190087	0.0124455	0.0272585	11.11835	0.99853	0.999624	1.00038	1.00147	11.11835	151.5208	0.05573857	-3.39712	1.009987	1.020074
270	-347.8048	-432.516	84.71115	341227	0.0341371	0.0936998	0.348355	0.00683385	0.0786494	0.0301612	0.150167	0.0309301	0.0260601	0.0326308	0.0306597	0.0106153	0.0250707	0.0183629	0.00574841	0.0979953	0.0152908	0.0107595	0.0191541	0.0905826	0.0129342	0.036511	0.0387563	0.491894	0.0903357	0.111772	0.00412936	0.0120495	0.00316634	0.0590335	0.00939326	0.0286656	0.0071565	0.141003	0.0508394	0.0286424	0.0389007	0.0359739	0.0305661	0.00340213	0.0815913	0.0243389	0.00829226	0.0383523	0.0325484	0.0103417	0.0041779	0.034011	0.0510266	0.0621833	0.0152368	0.0266138	11.1094	0.997825	0.999443	1.00055	1.00218	11.1094	151.0419	0.05102303	-3.389977	0.9104926	0.8289968
280	-356.7982	-434.2319	77.43364	149903.1	0.0316357	0.0637468	0.210853	0.0089549	0.15299	0.0159731	0.109191	0.0240672	0.0145385	0.0179546	0.0748504	0.0107133	0.0084358	0.0903555	0.004856	0.0464809	0.0253947	0.0103144	0.0201204	0.518113	0.0105052	0.0353647	0.0105337	0.303379	0.0737086	0.0626936	0.0103425	0.0167218	0.2706	0.027508	0.0631222	0.0319418	0.0483461	0.0368995	0.0400045	0.0709193	0.0342631	0.064262	0.0290627	0.0440336	0.0543845	0.0157379	0.0775958	0.0389879	0.0256986	0.0027564	0.0177806	0.0406123	0.0345547	0.0548199	0.00602838	0.130843	11.10571	0.996719	0.99916	1.00084	1.00328	11.10571	166.8573	0.0511401	-3.60885	1.127532	1.271328
290	-338.9583	-429.4431	90.48478	525629.5	0.0291499	0.0320818	0.113914	0.00995262	0.134388	0.0381357	0.186367	0.021435	0.0473327	0.0283034	0.0254813	0.0176485	0.021465	0.0155217	0.0117767	0.134786	0.0227697	0.0104138	0.0398625	0.0925339	0.00501012	0.00497934	0.0140119	0.0939837	0.00265044	0.0847942	0.0118764	0.00355341	0.490083	0.0439724	0.00376923	0.0358131	0.0710701	0.0130414	0.0397005	0.031209	0.0162821	0.0528014	0.0197305	0.0536307	0.0384501	0.0125619	0.0796545	0.0340569	0.0060727	0.00582592	0.00877891	0.0229294	0.0110748	0.0638078	0.016337	0.01304	11.10957	0.998247	0.999552	1.00045	1.00175	11.10957	159.4298	0.07639959	-3.275703	1.186529	1.407851
