Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
20	0	-357.8231	-447.1467	89.32363	348525.1	0.0323952	0.0455059	0.182532	0.0196431	0.0551901	0.0318802	0.0462068	0.0360221	0.0473482	0.0381104	0.0501406	0.115805	0.00761976	0.0694869	0.0155648	0.036502	0.0523629	0.0105941	0.0178097	0.0964589	0.00709489	0.0373091	0.0463969	0.0951277	0.0376976	0.0351541	0.0165628	0.0140042	0.0761966	0.0273722	0.02039	0.0204481	0.150616	0.059667	0.0367436	0.0723085	0.0230029	0.0428798	0.0146871	0.0783537	0.0136741	0.0497605	0.0116345	0.0769092	0.00324565	0.111345	0.101356	0.0076205	0.0452313	0.0369629	0.0138324	0.0673455	11.3376	0.997848	0.999449	1.00055	1.00215	11.3376	151.0439	0.05057368	-3.461609	0.9770208	0.9545696
21	1	-341.6657	-429.2769	87.61118	833986.5	0.022469	0.0534422	0.00677436	0.0323289	0.168953	0.0135824	0.0311948	0.0183898	0.170352	0.00698174	0.0379592	0.0299391	0.00853617	0.122272	0.0341392	0.0385588	0.0255183	0.012995	0.00542094	0.210688	0.0202435	0.0286372	0.028431	0.038878	0.245773	0.0514114	0.0240615	0.036922	0.00901295	0.0582475	0.0407493	0.131447	0.0160558	0.0135499	0.00381493	0.0151856	0.0113777	0.0414148	0.02487	0.0551318	0.0168495	0.03545	0.0413858	0.0650128	0.0167274	0.00560649	0.0293347	0.0475745	0.0265356	0.0708943	0.0665149	0.0153225	13.84506	0.998608	0.999644	1.00036	1.00139	13.84506	182.8427	0.04188935	-3.713157	1.039647	1.080867
22	0	-338.5653	-424.7901	86.22482	454205.7	0.0434228	0.0514716	0.211361	0.0200508	0.167742	0.0243749	0.112611	0.0113813	0.0362061	0.0125404	0.0546809	0.175831	0.00749649	0.0261358	0.0183969	0.0331096	0.0160527	0.0261964	0.0209622	0.174186	0.0085579	0.0208232	0.0187947	0.18292	0.0593506	0.0434854	0.010972	0.0280356	0.0145969	0.0823675	0.016136	0.0154391	0.122949	0.0499502	0.014136	0.0353098	0.070535	0.0783808	0.00807815	0.215809	0.01085	0.0673272	0.0071282	0.0346246	0.0110009	0.0591991	0.0177688	0.0152433	0.0159194	0.0284845	0.0122576	0.0921443	11.32218	0.998115	0.999518	1.00048	1.00189	11.32218	158.3957	0.06643176	-3.208937	0.9973534	0.9947139
23	1	-351.926	-444.5111	92.58511	322768.1	0.0289874	0.0123259	0.0125429	0.0137854	0.0942394	0.00631974	0.0625853	0.00686239	0.115896	0.0107872	0.0303276	0.0302417	0.0227381	0.103118	0.0267184	0.057882	0.0107844	0.00996228	0.00346549	0.253334	0.0101186	0.0581612	0.0126054	0.0158752	0.165045	0.0150905	0.0291466	0.0476906	0.0201567	0.00935993	0.0499887	0.0267033	0.0101961	0.0223586	0.00447127	0.00864886	0.00486342	0.0498231	0.013418	0.0779392	0.0150573	0.00966316	0.0346606	0.31251	0.0400331	0.0109727	0.0100592	0.0929096	0.0138515	0.0884997	0.0310166	0.0070593	13.8503	0.997764	0.999428	1.00057	1.00224	13.8503	172.2421	0.05694704	-3.528469	1.151378	1.325671
24	0	-348.3441	-424.7712	76.42713	429315.2	0.0206699	0.0443371	0.274143	0.0108959	0.248391	0.0134564	0.222338	0.0105731	0.00876116	0.0382479	0.0132772	0.25731	0.020332	0.0476302	0.00686802	0.0668709	0.0217218	0.0137903	0.0314909	0.222503	0.00903333	0.0313231	0.0132273	0.211202	0.0442984	0.0589579	0.0111478	0.0362789	0.040935	0.0129249	0.02164	0.0129719	0.249235	0.159456	0.0114987	0.075814	0.0260284	0.077621	0.00178803	0.0665748	0.00340004	0.0190496	0.0369042	0.134244	0.0068493	0.033719	0.00526343	0.0131135	0.0134907	0.0321222	0.0385211	0.216021	11.35304	0.998061	0.999504	1.00049	1.00194	11.35304	155.7347	0.0669885	-3.420191	1.197461	1.433913
25	1	-353.5775	-431.8718	78.2943	83284.85	0.0519106	0.0128136	0.0130649	0.0299172	0.055118	0.0091077	0.0450985	0.00776563	0.149218	0.00224155	0.00797776	0.0504863	0.00762389	0.135237	0.0247079	0.0246474	0.0112956	0.00723984	0.00755916	0.051987	0.0253084	0.210756	0.0198499	0.0077964	0.110121	0.122344	0.0237682	0.0339729	0.0110592	0.0319752	0.0896648	0.0476605	0.132959	0.0340134	0.00853742	0.0119219	0.0150052	0.0681347	0.0544491	0.0495932	0.0835688	0.0528764	0.0307433	0.25048	0.122399	0.0265403	0.0285381	0.212873	0.0387281	0.0525833	0.017846	0.005528	13.83432	0.995599	0.998872	1.00112	1.00441	13.83432	185.4914	0.06251715	-3.328336	1.054534	1.112042
26	0	-351.8079	-433.85	82.04211	486386.6	0.0218775	0.0247791	0.512888	0.00398963	0.240374	0.0142327	0.279215	0.0558957	0.00907986	0.00278983	0.00808566	0.0428559	0.0064084	0.064446	0.00997862	0.0285326	0.0172683	0.0163521	0.0206327	0.163789	0.0251681	0.0640852	0.0102016	0.16345	0.108278	0.0369882	0.0209403	0.00561597	0.0209865	0.0209081	0.0228253	0.0105854	0.236412	0.0435838	0.0179857	0.062737	0.02246	0.086617	0.00906034	0.0340436	0.0453667	0.00434294	0.0147591	0.010188	0.0197005	0.0548501	0.0264027	0.160934	0.027795	0.0848397	0.0341268	0.0209505	11.3691	0.998178	0.999534	1.00046	1.00182	11.3691	160.2495	0.07198159	-3.29293	1.150291	1.32317
27	1	-352.8551	-435.5493	82.69415	142792.2	0.0264761	0.00908225	0.0210731	0.0559427	0.0947036	0.00957211	0.0364261	0.0035683	0.351611	0.00702136	0.00586033	0.0471702	0.00521046	0.0455995	0.00829776	0.01232	0.0223179	0.0160463	0.0128049	0.0507999	0.00959314	0.0937151	0.0341447	0.00628424	0.208535	0.259281	0.00948257	0.0227985	0.0318633	0.0459539	0.0900559	0.0734378	0.205285	0.0397905	0.0191182	0.046005	0.0171717	0.0709869	0.0333726	0.0227607	0.0313983	0.0306223	0.0251662	0.050851	0.0793683	0.0201378	0.0896306	0.0249944	0.00506809	0.021155	0.032417	0.0060553	13.82521	0.996638	0.999139	1.00086	1.00337	13.82521	178.8378	0.06104728	-3.590256	1.260277	1.588298
28	0	-342.141	-436.0657	93.92467	674608.3	0.0287167	0.0441159	0.11653	0.0121958	0.139506	0.0164603	0.0271448	0.0203842	0.00402335	0.0317765	0.0243952	0.00235331	0.0224799	0.0431121	0.00710828	0.0491865	0.0129688	0.00939302	0.0230687	0.326981	0.0200737	0.0361276	0.026075	0.186163	0.0814187	0.0453668	0.0429015	0.03743	0.0330106	0.0437255	0.0139915	0.0085554	0.0648076	0.0607944	0.0212218	0.0420622	0.0242862	0.0687076	0.0137697	0.0126351	0.084475	0.0176909	0.0603406	0.0198424	0.0127168	0.00897478	0.0137383	0.0809838	0.112625	0.0589817	0.00843656	0.0217255	11.33843	0.998453	0.999604	1.00039	1.00155	11.33843	165.3321	0.03758345	-3.650325	0.859225	0.7382676
29	1	-353.7179	-444.2883	90.57045	145853.5	0.0381347	0.0273005	0.0310417	0.0362313	0.0301302	0.00498742	0.0307615	0.0150488	0.111744	0.0141495	0.0223579	0.052577	0.00432775	0.0362569	0.0155921	0.0447837	0.00616859	0.0196942	0.0170095	0.0691615	0.0150132	0.0291054	0.0305338	0.0192542	0.190727	0.173932	0.0327959	0.0192123	0.0609554	0.030334	0.053122	0.043683	0.0335858	0.0757725	0.0123409	0.0486257	0.0801102	0.0210499	0.0876029	0.0192627	0.0936877	0.0215288	0.017488	0.0215712	0.0203279	0.0713032	0.0749903	0.11835	0.0210772	0.0523585	0.0808089	0.0153287	13.83696	0.996674	0.999148	1.00085	1.00333	13.83696	174.6765	0.05345851	-3.267266	0.822699	0.6768336
