Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
150	0	-434.928	-419.654	-15.2743	88962.15	6.723925	0.995742	0.998908	1.00109	1.00426	3.72253
151	1	-436.301	-418.349	-17.9522	282116.6	8.3519	0.997608	0.999388	1.00061	1.00239	4.135261
152	0	-438.087	-420.16	-17.9267	26368.35	10.5783	0.992183	0.99799	1.00199	1.00784	3.957624
153	1	-428.107	-412.974	-15.1331	408091.6	10.30652	0.998011	0.999491	1.00051	1.00199	3.71287
154	0	-426.559	-420.022	-6.53696	170086.5	10.66312	0.99692	0.999211	1.00079	1.00308	2.88112
155	1	-427.099	-416.005	-11.0939	969201.5	9.329605	0.998709	0.99967	1.00033	1.00129	3.337401
156	0	-431.458	-419.262	-12.1953	35786.94	9.665871	0.993289	0.998276	1.00171	1.00673	3.449172
157	1	-425.454	-412.842	-12.6117	460547.8	9.469329	0.998128	0.999521	1.00048	1.00187	3.497293
158	0	-443.35	-424.994	-18.3565	8243.943	7.862141	0.986035	0.99639	1.00354	1.01403	4.203091
159	1	-449.116	-433.141	-15.9751	756762.4	7.085585	0.998539	0.999626	1.00037	1.00146	3.865214
160	0	-448.648	-429.376	-19.2729	922035	7.866564	0.998677	0.999662	1.00034	1.00132	4.319466
161	1	-429.8	-419.013	-10.7869	280447.7	11.48823	0.997601	0.999386	1.00061	1.0024	3.24386
162	0	-436.951	-421.404	-15.547	558951.5	6.303995	0.9983	0.999565	1.00043	1.0017	3.689501
163	1	-439.036	-416.419	-22.6172	191538.3	9.567367	0.997097	0.999257	1.00074	1.00291	4.540728
164	0	-447.408	-423.966	-23.4422	846894.2	4.487901	0.998619	0.999647	1.00035	1.00138	4.524073
165	1	-440.859	-425.898	-14.9618	325582.3	7.525802	0.997773	0.99943	1.00057	1.00223	3.757079
166	0	-440.247	-420.759	-19.4885	8197.39	7.368779	0.985996	0.996379	1.00355	1.01407	4.361292
167	1	-434.872	-421.117	-13.7554	295751.6	6.348135	0.997664	0.999402	1.0006	1.00234	3.416504
