Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1110	-440.652	-425.198	-15.4534	149840.9	7.327158	0.996718	0.999159	1.00084	1.00329	3.810979
1120	-434.765	-422.041	-12.7236	841717.6	7.881812	0.998615	0.999646	1.00035	1.00139	3.487894
1130	-440.87	-424.172	-16.6973	225197.8	6.677668	0.997323	0.999315	1.00068	1.00268	3.928682
1140	-430.252	-418.284	-11.968	176234.6	8.006252	0.996974	0.999225	1.00077	1.00303	3.400763
1150	-425.408	-417.573	-7.83488	573602.7	11.50181	0.998322	0.999571	1.00043	1.00168	2.986526
1160	-425.283	-416.41	-8.87259	680515.1	12.05884	0.99846	0.999606	1.00039	1.00154	3.054809
1170	-438.461	-423.229	-15.2318	780672.5	8.002938	0.998562	0.999632	1.00037	1.00144	3.808373
1180	-431.09	-420.235	-10.8544	565916.2	9.655856	0.998311	0.999568	1.00043	1.00169	3.310544
1190	-437.375	-425.375	-11.9995	950518.7	9.823866	0.998697	0.999667	1.00033	1.0013	3.425019
1200	-436.838	-423.464	-13.3741	601984.5	8.826522	0.998362	0.999581	1.00042	1.00164	3.590112
1210	-427.439	-417.498	-9.94072	672538.2	9.969749	0.99845	0.999604	1.0004	1.00155	3.214263
1220	-435.148	-424.113	-11.0343	297570.2	8.961352	0.997671	0.999404	1.00059	1.00233	3.327812
1230	-428.262	-415.998	-12.2641	307433.6	11.02593	0.997708	0.999414	1.00058	1.00229	3.399302
1240	-432.253	-413.975	-18.2786	768113.7	11.74332	0.99855	0.999629	1.00037	1.00145	3.868717
1250	-432.116	-420.244	-11.8716	353194	8.383692	0.997862	0.999453	1.00055	1.00214	3.408478
1260	-434.758	-419.336	-15.4224	735047.3	9.141865	0.998518	0.999621	1.00038	1.00148	3.810143
1270	-430.332	-420.569	-9.76321	28044.65	10.19245	0.99242	0.998051	1.00193	1.0076	3.193773
1280	-428.937	-417.974	-10.9621	870297.9	9.686014	0.998638	0.999652	1.00035	1.00136	3.321363
1290	-439.839	-423.989	-15.85	924160.9	9.770241	0.998678	0.999662	1.00034	1.00132	3.820535
1300	-438.407	-421.5	-16.907	329304.4	6.28219	0.997786	0.999433	1.00056	1.00222	3.901276
1310	-432.359	-415.672	-16.6865	700076.5	9.916662	0.998481	0.999612	1.00039	1.00152	3.895025
